Image ID,Batch,Image need category,Priority: High / Medium / Low,Crop / system,Pest / disease / disorder / process,"Scientific name, if applicable",Visible cue shown,Why this image is useful,Recommended manuscript use,Chapter / entry placement,Current coverage gap filled,File name,Folder path,Source type: USDA / Government / Extension / Bugwood / Wikimedia / Journal / Other,Original source page URL,Direct image file URL,"Secondary mirror URL, if used",Repository / hosting site,Creator / photographer,Rights holder / source organization,Catalog ID / image ID,Image title on source page,Source-stated subject ID,Source-stated crop / host,Source-stated organism / disease / disorder,ID confidence: High / Medium / Low / VERIFY,License name,License version,License URL,Commercial use allowed? Yes / No / VERIFY,Modification/cropping allowed? Yes / No / VERIFY,Attribution required? Yes / No / VERIFY,Exact attribution text,Credit line draft,Special restrictions,ShareAlike / GFDL / NC / ND risk,Contains identifiable person? Yes / No,Contains watermark/catalog ID? Yes / No,Resolution / pixel dimensions,Image quality: Excellent / Good / Marginal / Reject,Instructional value score 0–5,Diagnostic clarity score 0–5,Rights confidence score 0–5,Overall recommendation: Use candidate / Conditional / Hold / Reject / No suitable found photo,Reason for recommendation,Caption draft,Alt text draft,Caption safety notes,Factual-label risk,Verification still needed,Search terms tried,Rejected alternatives reviewed,Notes
B28_01,Batch28_RootCrownAbioticPestDamage,Abiotic stress / physical damage,High,Tomato,Hail injury / physical fruit damage,Solanum lycopersicum,Bruises and punched holes on developing green tomato fruit after hail,Shows a physical-injury lookalike that can be confused with pest or disease lesions; source caption directly describes hail impact on fruit.,Abiotic lookalikes; tomato disorder plate; storm-damage triage,Abiotic Stress and Physical Damage / Tomato diagnostics,Hail injury on vegetable fruit,LSE_FOUND_B28_ABIOTIC_Tomato_HailDamage_FruitBruisesHoles_DwightSipler_CC-BY-2.0.jpg,01_Use_Candidates,Wikimedia,https://commons.wikimedia.org/wiki/File:Hail_Damage_on_Tomatoes_(2634477599).jpg,https://upload.wikimedia.org/wikipedia/commons/c/c9/Hail_Damage_on_Tomatoes_%282634477599%29.jpg,Flickr original linked from Commons,Wikimedia Commons / Flickr,Dwight Sipler,Dwight Sipler via Flickr; Wikimedia Commons mirror,Flickr 2634477599 / Commons file,Hail Damage on Tomatoes (2634477599).jpg,Hail damage on tomatoes,Tomato,Hail injury / physical damage,High,Creative Commons Attribution,2.0 Generic,https://creativecommons.org/licenses/by/2.0/,Yes,Yes,Yes,"Dwight Sipler, CC BY 2.0, via Wikimedia Commons / Flickr; indicate changes if modified.","Photo: Dwight Sipler, CC BY 2.0, via Wikimedia Commons.",Attribution and change indication required; no endorsement implication.,None identified,No,No,2832 × 4256,Excellent,5,5,5,Use candidate,"Clear visible physical-injury cue, strong resolution, commercial/adaptation-compatible CC BY license.",Source-identified hail damage on developing tomato fruit. Bruises and punched holes after a storm are physical injury cues; confirm with weather history before diagnosing pest or disease.,Green tomato fruit with round hail bruises and holes on the skin.,Do not imply all circular fruit lesions are hail injury; use weather history and distribution pattern.,Low,Final caption review and layout/crop decision.,tomato hail damage Wikimedia Commons; hail damage on tomatoes CC BY,Whole-plant hail images with less visible fruit injury.,Good candidate for abiotic disorder/lookalike section.
B28_02,Batch28_RootCrownAbioticPestDamage,Root and soilborne diagnostics,High,Tomato,Bacterial wilt / stem cross-section symptom,Ralstonia solanacearum; Solanum lycopersicum,Cut tomato stem section with brown internal vascular discoloration / damaged tissue,Shows hidden internal tissue cues rather than only whole-plant wilt; useful for teaching that wilt requires stem/root inspection and lab/extension confirmation.,Wilt triage; bacterial wilt / vascular wilt lookalikes,"Wilt, Crown, Root & Seedling Disease Atlas",Bacterial wilt hidden-cause / stem-inspection photo,LSE_FOUND_B28_ROOTS_Tomato_BacterialWilt_StemCrossSection_ClemsonUSDA_CC-BY-3.0.jpg,01_Use_Candidates,Wikimedia,https://commons.wikimedia.org/wiki/File:Ralstonia_solanacearum_symptoms.jpg,https://upload.wikimedia.org/wikipedia/commons/1/13/Ralstonia_solanacearum_symptoms.jpg,ForestryImages original listed: http://www.forestryimages.org/browse/detail.cfm?imgnum=1234208,Wikimedia Commons / ForestryImages,Clemson University / USDA Cooperative Extension Slide Series,Clemson University; ForestryImages/Bugwood; USDA Cooperative Extension Slide Series,1234208,Ralstonia solanacearum symptoms.jpg,Symptoms of southern bacterial wilt in tomato caused by Ralstonia solanacearum,Tomato,Ralstonia solanacearum / southern bacterial wilt,High,Creative Commons Attribution / PD USDA noted in Commons categories,3.0 Unported,https://creativecommons.org/licenses/by/3.0/,Yes,Yes,Yes,"Clemson University / USDA Cooperative Extension Slide Series, CC BY 3.0, via Wikimedia Commons / ForestryImages; indicate changes if modified.","Photo: Clemson University / USDA Cooperative Extension Slide Series, CC BY 3.0, via Wikimedia Commons.",Attribution required; do not treat as sufficient diagnosis without crop history/confirmation.,None identified,No,No,3072 × 2969,Excellent,5,4,4,Use candidate,Source-confirmed bacterial wilt image with strong hidden-cause instructional value and commercial/adaptation-compatible license.,"Source-identified southern bacterial wilt symptom in tomato. Use internal stem symptoms as a prompt for careful wilt triage, not as a stand-alone diagnosis; confirm with extension guidance or lab support where needed.",Close-up of a split tomato stem showing brown internal tissue associated by the source with bacterial wilt.,"Do not state that vascular browning alone proves Ralstonia; Fusarium, Verticillium, and other crown/stem disorders can resemble wilt.",Medium,Confirm desired caption against manuscript wilt-diagnostics source; decide whether to pair with ooze/streaming-test text.,Ralstonia solanacearum symptoms tomato Wikimedia Commons; bacterial wilt tomato ForestryImages 1234208,Whole-plant wilt images that lacked internal cue.,"Use as stem-inspection visual, not as final diagnostic proof."
B28_03,Batch28_RootCrownAbioticPestDamage,Disease progression / soilborne disease,Medium,Tomato,Rhizoctonia damping-off/blight/fruit rot,Rhizoctonia solani / Thanatephorus cucumeris; Solanum lycopersicum,Blackish discoloration and rot on tomato fruit/stems near soil line,Adds a source-confirmed soilborne fungal disease photo with crop/host specificity; useful as a caution that lower-canopy fruit/stem rot can be soilborne rather than leaf-only disease.,Root/crown/soilborne disease lookalike section; tomato disease atlas,"Wilt, Crown, Root & Seedling Disease Atlas / Tomato disease lookalikes",Rhizoctonia tomato fruit/stem rot with rights-clean CC BY source,LSE_FOUND_B28_DISEASE_Tomato_RhizoctoniaSolani_FruitRotBlackLesions_JGKühn_CC-BY-3.0.jpg,01_Use_Candidates,Wikimedia,"https://commons.wikimedia.org/wiki/File:Tomaten_Rhizoctonia_damping-off,_blight_and_rot_(Rhizoctonia_solani),_J.G.K%C3%BChn.jpg",https://upload.wikimedia.org/wikipedia/commons/2/28/Tomaten_Rhizoctonia_damping-off%2C_blight_and_rot_%28Rhizoctonia_solani%29%2C_J.G.K%C3%BChn.jpg,https://www.ipmimages.org/browse/detail.cfm?imgnum=1534037,Wikimedia Commons / IPMImages,J.G. Kühn; University of Georgia Plant Pathology / Bugwood.org,"University of Georgia Plant Pathology, University of Georgia, Bugwood.org",1534037,"Tomaten Rhizoctonia damping-off, blight and rot (Rhizoctonia solani), J.G.Kühn.jpg",Tomato plant with Rhizoctonia solani infestation,Tomato,Rhizoctonia solani infestation leading to fruit rot with blackish discoloration,High,Creative Commons Attribution,3.0 Unported,https://creativecommons.org/licenses/by/3.0/,Yes,Yes,Yes,"J.G. Kühn, University of Georgia Plant Pathology, University of Georgia, Bugwood.org, CC BY 3.0, via Wikimedia Commons / IPMImages; indicate changes if modified.","Photo: J.G. Kühn, University of Georgia Plant Pathology, Bugwood.org, CC BY 3.0.","Attribution required; image has catalog ID visible at lower right, preserve source credit if cropped.",None identified,Partial hand only,Yes,2085 × 3043,Good,4,4,5,Use candidate,Source-confirmed IPMImages/Bugwood-origin photo with reviewed CC BY 3.0 license and visible soilborne rot cue.,"Source-identified Rhizoctonia solani infestation on tomato, with blackish fruit rot near the lower canopy. Use this as a soilborne-disease cue and confirm with pattern, moisture history, and extension diagnosis.",Tomato plant with green fruit showing dark rot lesions and soil contact near the lower canopy.,"Do not imply all black fruit lesions are Rhizoctonia; other rots, cold injury, or physical damage may look similar.",Medium,Final pathology-caption review; decide whether visible catalog ID can remain or be credited elsewhere.,Tomaten Rhizoctonia damping-off blight rot J.G. Kühn; Rhizoctonia solani tomato IPMImages 1534037,Lower-quality damping-off images without reuse terms.,Better rights status than many extension-only damping-off examples.
B28_04,Batch28_RootCrownAbioticPestDamage,Pest lifecycle / hidden root damage,High,Brassicas / kohlrabi,Cabbage root fly / cabbage maggot root damage,Delia radicum; Brassica oleracea gongylodes,White maggots and damaged kohlrabi roots/crown tissue,Shows the hidden root/crown damage that explains aboveground wilting/stunting; root-pull inspection cue is obvious.,Brassica pest lifecycle/action-window plate; root inspection workflow,Brassica crop profiles / Pest lifecycle and scouting gaps,Cabbage root maggot root damage with CC BY 4.0 rights,LSE_FOUND_B28_PEST_Brassica_CabbageFlyMaggot_RootDamage_Kohlrabi_SchlagheckenJosef_CC-BY-4.0.jpg,01_Use_Candidates,Wikimedia,https://commons.wikimedia.org/wiki/File:Kohlrabi_Kohlfliegen-Maden_im_Strunk--Josef_Schlaghecken.jpg,https://upload.wikimedia.org/wikipedia/commons/9/99/Kohlrabi_Kohlfliegen-Maden_im_Strunk--Josef_Schlaghecken.jpg,,Wikimedia Commons,Schlaghecken Josef,Schlaghecken Josef,Commons file,Kohlrabi Kohlfliegen-Maden im Strunk--Josef Schlaghecken.jpg,Cabbage fly maggots severely damaged kohlrabi roots,Kohlrabi,Cabbage fly maggots / Delia radicum-type root maggot damage,High,Creative Commons Attribution,4.0 International,https://creativecommons.org/licenses/by/4.0/,Yes,Yes,Yes,"Schlaghecken Josef, CC BY 4.0, via Wikimedia Commons; indicate changes if modified.","Photo: Schlaghecken Josef, CC BY 4.0, via Wikimedia Commons.",Attribution and change indication required.,None identified,No,No,4608 × 3456,Good,5,5,5,Use candidate,High-value hidden-cause root/crown pest image with clear commercial/adaptation-compatible CC BY 4.0 license.,Source-identified cabbage fly maggot damage on kohlrabi roots. Pull stunted or wilting brassicas and inspect the crown/root zone for small white larvae before assuming drought or fertility stress.,Pulled kohlrabi crown with white maggots feeding among damaged roots and soil.,Species-level ID should be kept to source-stated cabbage fly/root maggot; do not overstate if local species differs.,Low,Final entomology-caption review and crop-placement decision.,cabbage root maggot larva kohlrabi Commons; Delia radicum root damage Wikimedia,Adult fly images and generic wilted brassicas without root inspection view.,One of the strongest new candidates in the batch.
B28_05,Batch28_RootCrownAbioticPestDamage,Soil / water / drought process,Medium,Soil / Blackland clay analog,Drying shrinkage / cracking soil surface,,Large mud cracks in dry soil surface with scale,"Gives a visual cue for shrink-swell drying and surface cracking; useful as an analog for heavy clay moisture cycling, not as a direct Texas site photo.",North Texas soil failure modes; clay cracking / drought stress context,"Soil structure, water management, Blackland clay notes",Cracked soil / drought shrinkage process photo,LSE_FOUND_B28_SOIL_DroughtDrySoil_CrackingScale_VladislavNekrasov_CC-BY-4.0.jpg,01_Use_Candidates,Wikimedia,https://commons.wikimedia.org/wiki/File:Cracks_in_soil_surface.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b5/Cracks_in_soil_surface.jpg,,Wikimedia Commons,Vladislav Nekrasov,Vladislav Nekrasov,Commons file,Cracks in soil surface.jpg,Mud cracks / cracked soil surface,Soil surface,Dry cracked soil / mud cracks,High,Creative Commons Attribution,4.0 International,https://creativecommons.org/licenses/by/4.0/,Yes,Yes,Yes,"Vladislav Nekrasov, CC BY 4.0, via Wikimedia Commons; indicate changes if modified.","Photo: Vladislav Nekrasov, CC BY 4.0, via Wikimedia Commons.",Attribution and change indication required; image is not North Texas-specific.,None identified,No,No,3502 × 2335,Excellent,4,4,5,Use candidate,Clear high-resolution cracking cue with low rights burden; use only as process analog.,"Cracked dry soil surface. In shrink-swell clay, cracking is a moisture-cycle cue; use mulch, organic matter, irrigation scheduling, and bed structure to reduce extreme wet/dry swings.",Dry soil surface split into large polygonal cracks with a person’s legs providing scale.,"Caption as a general cracking process image, not a direct Blackland Prairie site unless a Texas source is later found.",Low,Decide if a North Texas-specific replacement is needed.,cracked soil surface CC BY Wikimedia; clay cracked dry soil Commons,CC BY-SA clay images and decorative drought photos.,Useful but lower priority than crop-specific diagnostics.
B28_06,Batch28_RootCrownAbioticPestDamage,Abiotic stress and lookalikes,High,Tomato,Frost / freeze injury,Solanum lycopersicum,"Blackened, curled, damaged tomato leaves and fruit after frost exposure","Shows whole-plant frost injury pattern on cherry tomato, including leaf and fruit damage; useful for cold-snap triage.",Abiotic stress progression / frost injury lookalikes,Abiotic Stress and Disorder Atlas / Tomato profile,Frost/freeze injury on tomato,LSE_FOUND_B28_ABIOTIC_Tomato_FrostDamage_LeafFruitBurn_AmroBinKulthoum_CC-BY-SA-3.0.jpg,02_Conditional_Rights_Review,Wikimedia,https://commons.wikimedia.org/wiki/File:%D8%A8%D9%86%D8%AF%D9%88%D8%B1%D8%A9_%D8%A3%D8%B5%D8%A7%D8%A8%D9%87%D8%A7_%D8%B5%D9%82%D9%8A%D8%B9.jpg,https://upload.wikimedia.org/wikipedia/commons/b/bd/%D8%A8%D9%86%D8%AF%D9%88%D8%B1%D8%A9_%D8%A3%D8%B5%D8%A7%D8%A8%D9%87%D8%A7_%D8%B5%D9%82%D9%8A%D8%B9.jpg,,Wikimedia Commons,عمرو بن كلثوم / Amro bin Kulthoum,عمرو بن كلثوم / Amro bin Kulthoum,Commons file,بندورة أصابها صقيع.jpg,Effect of frost on cherry tomato,Cherry tomato,Frost injury,High,Creative Commons Attribution-ShareAlike,3.0 Unported,https://creativecommons.org/licenses/by-sa/3.0/,Yes,"Yes, but ShareAlike applies",Yes,"عمرو بن كلثوم / Amro bin Kulthoum, CC BY-SA 3.0, via Wikimedia Commons; indicate changes if modified.","Photo: عمرو بن كلثوم / Amro bin Kulthoum, CC BY-SA 3.0, via Wikimedia Commons.",ShareAlike production review required before layout/cropping/annotation.,ShareAlike,No,No,3072 × 2304,Good,4,4,4,Conditional,Strong abiotic-cold cue but CC BY-SA obligations require production review.,"Source-identified frost injury on cherry tomato. Blackened, curled foliage after a cold event should be separated from disease diagnosis by checking weather history and injury distribution.","Cherry tomato plant with curled, blackened frost-damaged leaves and green fruit.",Do not imply frost is the only cause of blackened leaves; use recent temperature history.,Low,ShareAlike compatibility review; final caption review.,tomato frost injury Wikimedia Commons; cherry tomato frost damage CC BY-SA,Low-resolution extension frost images with unclear reuse.,Good visual; not production-clear until SA handling is accepted.
B28_07,Batch28_RootCrownAbioticPestDamage,Root/crown disease diagnostics,High,Tomato,Southern blight / Athelia rolfsii sclerotia,Athelia rolfsii / Sclerotium rolfsii; Solanum lycopersicum,Small brown sclerotia on tomato debris/fruits near crown area,Shows the diagnostic sclerotia cue that is often more useful than generic wilt; fills the crown/soil-line disease gap.,Southern blight sclerotia reference; crown rot lookalike plate,"Wilt, Crown, Root & Seedling Disease Atlas",Southern blight sclerotia on tomato,LSE_FOUND_B28_DISEASE_Tomato_SouthernBlight_SclerotiaAtCrown_PersleyCooke_CC-BY-SA-3.0_LOWRES.jpg,02_Conditional_Rights_Review,Wikimedia,https://commons.wikimedia.org/wiki/File:Athelia_rolfsii_sclerotia.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9a/Athelia_rolfsii_sclerotia.jpg,EcoPort original listed: http://ecoport.org/ep?SearchType=pdb&PdbID=42651,Wikimedia Commons / EcoPort,Persley D. & Cooke T,EcoPort / Persley D. & Cooke T,EcoPort PdbID 42651 / Commons file,Athelia rolfsii sclerotia.jpg,Athelia rolfsii sclerotia on Solanum lycopersicum,Tomato,Athelia rolfsii sclerotia,High,Creative Commons Attribution-ShareAlike,3.0 Unported,https://creativecommons.org/licenses/by-sa/3.0/,Yes,"Yes, but ShareAlike applies",Yes,"Persley D. & Cooke T / EcoPort, CC BY-SA 3.0, via Wikimedia Commons; indicate changes if modified.","Photo: Persley D. & Cooke T / EcoPort, CC BY-SA 3.0, via Wikimedia Commons.",ShareAlike production review required; low-resolution image likely inset-only.,ShareAlike; low-resolution production risk,No,No,498 × 500,Marginal,5,4,3,Conditional,"Very useful sclerotia cue, but low resolution and CC BY-SA production obligations require review.",Source-identified Athelia rolfsii sclerotia on tomato. The small tan-to-brown seedlike bodies at the crown/soil line are a key cue for southern blight-type diagnosis; confirm with extension or lab support.,Close-up of decaying tomato tissue with numerous small brown sclerotia.,"Do not diagnose southern blight from sclerotia alone without host, crown symptoms, and moisture/temperature context.",Medium,ShareAlike review; pathology caption review; consider higher-resolution replacement.,Athelia rolfsii sclerotia tomato Commons; southern blight sclerotia tomato CC BY,Extension images with unclear reuse and noncommercial restrictions.,Use only if no cleaner high-resolution replacement is found.
B28_08,Batch28_RootCrownAbioticPestDamage,Pest lifecycle / hidden root damage,High,Brassica / pak choi,Cabbage fly larva / root maggot damage,Delia radicum; Brassica rapa subsp. chinensis,Small whitish cabbage fly larva beside destroyed pak choi stalk/root zone,Excellent larva-in-context photo for teaching root inspection and action timing; shows the larva as well as the damaged plant tissue.,Brassica root maggot lifecycle/action-window plate,Brassica pest management / Pest lifecycle and scouting gaps,Cabbage fly larva with plant damage,LSE_FOUND_B28_PEST_Brassica_CabbageFlyLarva_StalkDamage_PakChoi_SchlagheckenJosef_CC-BY-SA-4.0.jpg,02_Conditional_Rights_Review,Wikimedia,https://commons.wikimedia.org/wiki/File:Pak_Choi_(Brassica_rapa_subsp._chinensis_)_Kohlfliegen-Schaden-3-Josef_Schlaghecken.jpg,https://upload.wikimedia.org/wikipedia/commons/2/20/Pak_Choi_%28Brassica_rapa_subsp._chinensis_%29_Kohlfliegen-Schaden-3-Josef_Schlaghecken.jpg,,Wikimedia Commons,Schlaghecken Josef,Schlaghecken Josef,Commons file,Pak Choi (Brassica rapa subsp. chinensis) Kohlfliegen-Schaden-3-Josef Schlaghecken.jpg,Destroyed pak choi stalk with a cabbage fly larva; larvae are small and whitish,Pak choi,Cabbage fly larvae,High,Creative Commons Attribution-ShareAlike,4.0 International,https://creativecommons.org/licenses/by-sa/4.0/,Yes,"Yes, but ShareAlike applies",Yes,"Schlaghecken Josef, CC BY-SA 4.0, via Wikimedia Commons; indicate changes if modified.","Photo: Schlaghecken Josef, CC BY-SA 4.0, via Wikimedia Commons.",ShareAlike production review required before cropping/annotation/layout integration.,ShareAlike,No,No,4624 × 3468,Excellent,5,5,4,Conditional,"Strongest root-maggot context image, but CC BY-SA requires production review.",Source-identified cabbage fly larva beside damaged pak choi stalk tissue. This is the hidden pest stage to look for when brassicas wilt or stall without obvious aboveground feeding.,Small white maggot near a damaged pak choi stalk and roots in dark soil.,Do not assume every brassica root maggot species is Delia radicum unless source or regional expert confirms.,Low,ShareAlike production review; final local species caption check.,pak choi cabbage fly larva damage CC BY-SA; Delia radicum larva plant damage Wikimedia,Adult fly photos and low-resolution larva images without host context.,Could replace B28_04 if production accepts ShareAlike.
B28_09,Batch28_RootCrownAbioticPestDamage,Pest lifecycle / scouting,Medium,Brassica pest reference,Cabbage root fly maggot and pupa stages,Delia radicum,White maggots and brown pupa on wood background,Provides a clean lifecycle reference for the larval/pupal stages that are hidden in soil and roots.,Cabbage root maggot lifecycle inset only,Pest lifecycle and scouting gaps / Brassica pests,Cabbage root maggot larva/pupa lifecycle stages,LSE_FOUND_B28_PEST_Brassica_DeliaRadicum_MaggotPupaLifeStages_Rasbak_CC-BY-SA-GFDL.jpg,02_Conditional_Rights_Review,Wikimedia,"https://commons.wikimedia.org/wiki/File:Delia_radicum,_koolvlieg_pop_en_maden.jpg",https://upload.wikimedia.org/wikipedia/commons/6/6d/Delia_radicum%2C_koolvlieg_pop_en_maden.jpg,,Wikimedia Commons,Rasbak,Rasbak,Commons file,"Delia radicum, koolvlieg pop en maden.jpg",Delia radicum; cabbage fly pupa and maggots,Not shown; pest stages only,Delia radicum,High,Creative Commons Attribution-ShareAlike and GFDL options,CC BY-SA 3.0/2.5/2.0/1.0; GFDL 1.2+,https://creativecommons.org/licenses/by-sa/3.0/,Yes,"Yes, but ShareAlike/GFDL obligations apply depending selected license",Yes,"Rasbak, CC BY-SA 3.0, via Wikimedia Commons; indicate changes if modified.","Photo: Rasbak, CC BY-SA 3.0, via Wikimedia Commons.",ShareAlike/GFDL production review required; use as lifecycle inset only.,ShareAlike / GFDL,No,No,1824 × 1431,Excellent,4,5,3,Conditional,"Strong lifecycle morphology photo, but licensing options include SA/GFDL and the image lacks crop context.",Source-identified Delia radicum maggots and pupa. Use this as a lifecycle inset beside root-damage photos so readers know what to look for in the soil/root zone.,Two white cabbage-root-fly maggots and a brown pupa arranged on a wood surface.,Do not use alone to diagnose root maggot damage; pair with root/stem damage photo and host symptoms.,Low,Production review for ShareAlike/GFDL; final species/caption check.,Delia radicum pupa maggots Wikimedia Commons; cabbage fly maggot pupa photo,No-host adult fly photos.,"Good lifecycle supplement, not primary diagnostic image."
B28_10,Batch28_RootCrownAbioticPestDamage,Pest lifecycle / scouting,High,Squash / cucurbits,Squash vine borer frass at stem,Melittia cucurbitae,Orange-tan sawdust-like frass at squash stem/crown,"Frass at the stem base is the action-window cue; once larvae are inside stems, contact sprays cannot reach them.",Squash vine borer scouting/action-window sequence,Summer squash / winter squash pest diagnostics,Squash vine borer frass-only cue,LSE_FOUND_B28_PEST_SquashVineBorer_FrassAtStem_Pollinator_CC-BY-2.5_CONDITIONAL.jpg,02_Conditional_Rights_Review,Wikimedia,https://commons.wikimedia.org/wiki/File:Frass_1310.JPG,https://upload.wikimedia.org/wikipedia/commons/e/e6/Frass_1310.JPG,Originally from English Wikipedia according to Commons history,Wikimedia Commons,"Pollinator~commonswiki, assumed by Commons based on copyright claims",Pollinator~commonswiki,Commons file,Frass 1310.JPG,Melittia cucurbitae frass from larvae of squash vine borer,Squash stem/crown,Squash vine borer larval frass,High,Creative Commons Attribution; alternative CC BY-SA/GFDL legacy tags noted,CC BY 2.5 selected from available options,https://creativecommons.org/licenses/by/2.5/,Yes,Yes,Yes,"Pollinator~commonswiki, CC BY 2.5, via Wikimedia Commons; indicate changes if modified.","Photo: Pollinator~commonswiki, CC BY 2.5, via Wikimedia Commons.",Legacy Commons source/author fields say no machine-readable source/author provided; production should review provenance.,"Legacy CC BY-SA/GFDL options present; selected CC BY 2.5, but provenance review advised.",No,No,1800 × 1776,Excellent,5,5,3,Conditional,"Excellent diagnostic cue, but legacy author/source notation merits production review before final use.",Source-identified squash vine borer frass at a squash stem. This sawdust-like material is a key scouting cue that larvae are already feeding inside the stem.,Close-up of a squash stem with tan-orange sawdust-like frass clustered at the crown.,Do not imply frass appears before larvae enter; use as a cue for inspection and prevention timing next season.,Low,Review Commons provenance and credit wording; confirm no duplicate already chosen in earlier package.,squash vine borer frass Wikimedia Commons; Melittia cucurbitae frass photo,Adult moth-only images and low-resolution frass photos.,Strong diagnostic value despite conditional provenance.
